"08121: Balance sheet for non-financial limited companies, by year, contents and industry (SIC2007)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
,,"Agriculture, forestry and fishing",All industries,Mining and quarrying,Manufacturing,"Electricity, gas and steam","Water supply, sewerage, waste",Construction,Wholesale and retail trade: repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Portfolio investment,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Unspecified
,Liabilities (NOK million),185095,7819939,1743844,740452,481377,27503,545011,589658,609915,65727,504271,..,1538487,269177,231438,8800,64672,30154,14485,169873
,Provisions (NOK million),13171,815236,591344,32380,35717,1109,12629,12775,33329,1207,18574,..,38489,7684,14017,76,1105,547,178,905
,Other long-term liabilities (NOK million),109705,3963970,668138,274097,310328,14165,239741,146554,382378,34017,235791,..,1151589,99045,118282,3698,34320,13362,6912,121848
,Liabilities to financial institutions (NOK million),68012,1534392,78870,68797,87523,10282,129387,49270,198782,17596,33229,..,620384,38803,48029,2285,20509,6941,4374,51320
,Long-term liabilities to group companies (NOK million),15535,1312119,238632,116849,127054,2595,70589,69011,96173,10799,83752,..,352183,31198,42434,833,8630,1837,825,43191
,Short-term liabilities (NOK million),62219,3040733,484362,433975,135333,12230,292641,430330,194208,30502,249906,..,348409,162447,99138,5026,29246,16245,7395,47120
,Trade creditors (NOK million),11467,482206,44519,82275,11728,2934,57642,136894,45243,5149,27839,..,15610,21905,12447,694,2270,1603,758,1229
,Short-term liabilities to group companies (NOK million),21730,1147004,252902,169289,32265,3198,73487,106985,53896,12916,110130,..,181771,52920,39270,1276,10354,2827,2013,19776
,Total equity and liabilities (NOK million),383149,14958756,2821895,1524400,1021187,45024,891507,1176513,1057493,114186,1033244,..,3094830,597165,418214,16430,116075,49591,28572,569281
,Number of enterprises,5271,313139,1328,13171,1717,886,45147,43627,9869,10407,16328,..,66427,39641,13539,4245,10282,5442,5203,20609
2021,Fixed assets (NOK million),296720,11948491,2270665,1065402,955064,34649,532892,568705,931485,99165,1029410,..,2709619,436061,311101,8410,81597,30648,16136,570761
,Intangible fixed assets (NOK million),59744,416769,106417,32969,38095,630,8567,28559,17534,1898,68868,..,13293,23459,6899,549,5416,1654,818,1398
,Tangible fixed assets (NOK million),93255,3603204,999930,164413,294779,16116,141652,95140,385503,30559,101495,..,1060543,46205,100438,2989,21564,15202,4709,28713
,Financial fixed assets (NOK million),143721,7928519,1164318,868020,622190,17903,382673,445005,528448,66709,859047,..,1635783,366398,203763,4871,54617,13792,10609,540651
,"Investments in subsidiaries, other group companies or associated companies (NOK million)",115852,6007895,913864,679679,462349,11700,270653,366023,399795,53254,704402,..,1130706,288009,156542,3527,33280,9890,8044,400328
,"Loans to group companies, associated companies and joint ventures (NOK million)",17603,1300750,199814,159269,96461,5348,71434,50706,89499,9924,128344,..,331419,41385,35655,627,16106,2235,1687,43234
,Current assets (NOK million),142332,5297870,1225547,576825,258122,17860,493340,701395,267467,56644,254263,..,666017,290373,111646,7014,49007,21496,11735,146788
,Inventories (NOK million),38990,575251,47579,102244,1400,1184,121554,182602,5950,2135,4902,..,49027,6481,2016,148,787,587,912,6752
,Debitors (NOK million),51391,2833933,781273,340077,173716,10661,246256,342385,145032,29302,160051,..,275074,130583,70926,2765,23384,6490,3020,41548
,Accounts receivables (NOK million),14765,868298,:,128894,51802,4763,126972,133122,45107,3718,47966,..,25765,52723,26255,:,3783,1558,977,4187
,Investments (NOK million),14028,743300,:,27737,12956,463,27328,67616,36247,10645,15506,..,179059,61174,7555,:,6884,1996,3510,58863
,Cash and bank deposits etc (NOK million),37924,1145385,185992,106767,70050,5551,98203,108791,80238,14563,73805,..,162856,92135,31148,3071,17952,12423,4292,39625
,Total assets (NOK million),439052,17246361,3496213,1642227,1213186,52508,1026232,1270099,1198952,155810,1283674,..,3375636,726434,422746,15424,130603,52144,27870,717549
,Equity (NOK million),229871,8169685,1195880,798267,572284,20487,406144,624925,575870,71203,748483,..,1703317,439048,189936,7410,54862,20168,13481,498047
,Invested equity (NOK million),100777,5084108,588122,500435,415257,11286,220404,251746,479391,40274,576858,..,976632,343322,149500,5098,24673,14902,7488,377942
,Share capital (NOK million),18148,768321,106093,106370,97239,2694,37200,49921,81497,6585,40356,..,134078,38948,16334,834,3354,3919,1502,23248
,Share premium reserve (NOK million),73360,3569924,388776,300815,288008,5124,148439,163724,323256,20218,437891,..,718556,264159,101968,3848,15348,9669,4716,302050
,Retained earnings (NOK million),129094,3085577,607758,297832,157027,9201,185739,373180,96479,30929,171625,..,726685,95726,40437,2312,30189,5265,5993,120105
,Liabilities (NOK million),209181,9076676,2300333,843960,640902,32021,620089,645174,623082,84606,535191,..,1672319,287386,232810,8014,75742,31977,14389,219501
,Provisions (NOK million),14211,938060,694369,32839,41011,1221,14217,15691,35129,656,22380,..,43021,6131,13996,77,852,488,216,1553
,Other long-term liabilities (NOK million),124927,4083208,558483,281494,316537,16578,282798,145974,375160,44737,263412,..,1239170,107887,112612,3312,38895,13468,7130,150635
,Liabilities to financial institutions (NOK million),76788,1544758,67648,62843,81929,10158,144688,48881,194101,20619,37072,..,647002,39397,38234,2078,19994,6836,4979,41511
,Long-term liabilities to group companies (NOK million),21013,1315570,133131,121119,126320,5321,91199,60298,89612,17625,95090,..,392777,31372,41769,686,11842,1979,550,73867
,Short-term liabilities (NOK million),70043,4055408,1047481,529626,283354,14222,323074,483508,212793,39213,249398,..,390128,173369,106203,4624,35994,18020,7043,67314
,Trade creditors (NOK million),12573,570431,68406,98207,28113,3359,64541,151099,41628,5417,32105,..,18474,22133,16712,517,2511,1745,834,2059
,Short-term liabilities to group companies (NOK million),25890,1589843,548824,197326,82894,4170,79822,123356,65658,16943,99127,..,198022,55106,38481,1134,12642,3388,1319,35741
,Total equity and liabilities (NOK million),439052,17246361,3496213,1642227,1213186,52508,1026232,1270099,1198952,155810,1283674,..,3375636,726434,422746,15424,130603,52144,27870,717549
,Number of enterprises,5604,331371,1298,13412,1726,904,47366,44462,10060,11040,17296,..,69756,41287,13907,4409,10841,5756,5442,26805
2022,Fixed assets (NOK million),398109,13368857,2596730,1185586,1071760,43847,596681,679027,1020169,105247,1103757,:,2936889,527313,368821,8052,88617,38773,19209,580268
,Intangible fixed assets (NOK million),67824,577598,227151,35237,54542,867,8953,30635,13974,1771,77489,:,14299,26687,8508,826,4152,1674,872,2135
,Tangible fixed assets (NOK million),103793,3799360,998729,190249,307064,18681,154253,103515,406605,27391,114728,:,1123390,41742,127531,2906,20990,15940,4766,37089
,Financial fixed assets (NOK million),226492,8991899,1370850,960099,710155,24299,433476,544877,599591,76085,911540,:,1799201,458884,232782,4320,63475,21159,13572,541044
,"Investments in subsidiaries, other group companies or associated companies (NOK million)",154257,6757708,1099093,761490,512427,18119,306497,435868,434456,63664,741297,:,1253941,366332,172633,2877,37878,13012,7970,375895
,"Loans to group companies, associated companies and joint ventures (NOK million)",53999,1552961,213723,171504,137805,4932,84337,75066,130806,9127,127405,:,363132,50888,43079,664,20197,3612,2435,60252
,Current assets (NOK million),248498,6439256,1681675,624820,459187,18612,541234,753129,315775,58427,292202,:,715872,309227,140954,7181,47103,23841,11744,189774
,Inventories (NOK million),48735,678030,:,132658,:,1262,135232,221069,7084,2488,5512,:,54287,7269,2665,179,801,757,973,7809
,Debitors (NOK million),137127,3601095,1113484,347981,279779,12139,280982,372525,191258,37916,193859,:,318621,147196,97210,2707,21584,7817,2624,36287
,Accounts receivables (NOK million),32026,1011216,217780,151676,61432,4785,141847,159023,52221,4705,57691,:,26354,58988,31985,1093,4497,1786,1168,2161
,Investments (NOK million),15117,916710,:,29803,:,438,26104,62019,36398,3068,20043,:,178782,61450,10761,942,7614,2185,2880,101497
,Cash and bank deposits etc (NOK million),47519,1243421,211548,114378,129192,4773,98916,97516,81035,14956,72788,:,164181,93313,30318,3353,17104,13082,5266,44181
,Total assets (NOK million),646607,19808113,4278405,1810406,1530948,62459,1137915,1432156,1335944,163674,1395959,:,3652761,836540,509775,15233,135720,62614,30953,770042
,Equity (NOK million),292397,9254273,1533616,891903,653719,25656,448299,693412,611112,75768,820306,:,1815979,517290,218792,7439,58420,25497,15475,549192
,Invested equity (NOK million),130571,5644741,599983,532011,484837,14088,249986,321769,498284,46041,640805,:,1078719,375922,195338,3537,28417,17987,8763,417684
,Share capital (NOK million),19093,769735,104861,105844,100331,3145,37774,50914,73230,6097,47867,:,133878,38134,16385,913,3188,4051,1835,22194
,Share premium reserve (NOK million),89088,4090867,438536,308011,348923,7772,170738,218287,351663,25618,507001,:,806962,297196,138025,2213,17270,12346,5919,345301
,Retained earnings (NOK million),161826,3609532,933633,359893,168882,11568,198313,371644,112828,29728,179502,:,737260,141368,23454,3902,30003,7510,6712,131508
,Liabilities (NOK million),354210,10553839,2744789,918503,877228,36803,689617,738744,724831,87906,575653,:,1836782,319251,290983,7794,77300,37117,15478,220850
,Provisions (NOK million),17991,983243,723365,34329,49113,1387,13753,17073,27713,4296,23733,:,45166,6264,15515,91,959,530,221,1744
,Other long-term liabilities (NOK million),181081,4492790,541491,309739,344756,19767,313683,189866,443296,38457,269563,:,1367902,117864,139419,2907,42175,15656,6796,148372
,Liabilities to financial institutions (NOK million),84640,1662290,39413,74794,67960,12892,160710,71491,201776,21225,38023,:,725334,34821,50394,1426,25090,7404,4696,40202
,Long-term liabilities to group companies (NOK million),60352,1523723,129572,128057,126500,4304,102298,78679,134130,11820,115010,:,439574,46019,54479,721,12873,2716,508,76109
,Short-term liabilities (NOK million),155139,5077807,1479933,574435,483359,15649,362181,531804,253822,45154,282356,:,423714,195123,136048,4796,34166,20931,8461,70734
,Trade creditors (NOK million),41695,685846,67426,115133,36434,3810,74004,175331,49154,6805,40286,:,22541,25401,19327,580,2627,2146,926,2220
,Short-term liabilities to group companies (NOK million),65565,1994743,694541,197587,169946,4493,94506,136279,91613,18429,122625,:,227867,60028,54808,996,14534,3927,2164,34833
,Total equity and liabilities (NOK million),646607,19808113,4278405,1810406,1530948,62459,1137915,1432156,1335944,163674,1395959,:,3652761,836540,509775,15233,135720,62614,30953,770042
,Number of enterprises,5874,346452,1275,13388,1754,910,48222,44609,10163,11254,18400,:,72260,42932,14360,4614,11302,6102,5630,33403
2023,Fixed assets (NOK million),450460,14273009,2581327,1295609,1117648,45298,647728,739190,1171576,117245,1429405,..,3111043,585071,357765,8621,98387,40364,20711,455562
,Intangible fixed assets (NOK million),69030,587599,213532,41855,45372,934,10673,34341,15887,1701,85518,..,16731,32699,9519,671,4076,1614,849,2599
,Tangible fixed assets (NOK million),116839,4028064,1059408,198655,321680,19617,141975,110513,441526,33155,137940,..,1219289,44986,124845,3023,18959,17030,4906,13718
,Financial fixed assets (NOK million),264591,9657346,1308387,1055099,750596,24747,495080,594336,714163,82389,1205947,..,1875023,507386,223401,4927,75353,21720,14956,439245
,"Investments in subsidiaries, other group companies or associated companies (NOK million)",183193,7301615,1074246,819399,555156,18457,337908,477896,547698,60051,1020034,..,1287645,390531,169237,3306,44839,11704,9289,291030
,"Loans to group companies, associated companies and joint ventures (NOK million)",66763,1616856,178622,205460,139478,5405,109496,66805,129378,12503,144873,..,399964,63941,36211,798,24301,4113,2458,26286
,Current assets (NOK million),300066,6259683,1204478,742515,321110,19879,560010,767733,377502,69342,353321,..,761705,329781,152285,7436,53554,25781,11656,201529
,Inventories (NOK million),56725,706967,:,136938,2526,1310,146866,223650,6788,2701,6789,..,52988,8443,2650,:,910,798,1016,9881
,Debitors (NOK million),188058,3423887,683108,452110,215216,12647,288258,376647,243080,44295,236085,..,337564,163062,101794,2627,26112,7922,3030,42272
,Accounts receivables (NOK million),42833,967071,160764,151321,43448,5823,139093,162956,57308,5299,62855,..,24226,65352,33262,1158,5752,1967,1377,2281
,Investments (NOK million),14368,957515,:,34786,13833,675,26651,66596,33310,6383,24145,..,212312,74094,13404,:,8854,3415,3114,108072
,Cash and bank deposits etc (NOK million),40914,1171314,163280,118681,89536,5248,98234,100840,94323,15963,86301,..,158842,84182,34438,3408,17678,13646,4497,41304
,Total assets (NOK million),750526,20532692,3785805,2038124,1438758,65177,1207737,1506923,1549078,186587,1782726,..,3872748,914852,510050,16057,151941,66145,32368,657091
,Equity (NOK million),327058,9819881,1315870,1015741,674823,26737,469490,752647,734098,80996,1113409,..,1910831,548823,222907,7352,67136,26659,17767,507537
,Invested equity (NOK million),162280,6278252,619964,616508,510644,15944,274338,367666,603179,48604,847825,..,1141011,403915,198318,3826,36180,18263,10538,399249
,Share capital (NOK million),21191,772931,102039,97430,98948,3231,36456,55086,76509,6964,52843,..,139693,39722,15896,916,3692,3524,1795,16996
,Share premium reserve (NOK million),117090,4589172,424161,396341,379891,6183,189890,253143,431350,26637,697687,..,844935,316464,139840,2610,22957,13199,6899,319894
,Retained earnings (NOK million),164778,3541629,695906,399234,164179,10793,195151,384981,130919,32392,265584,..,769820,144908,24589,3526,30956,8396,7229,108288
,Liabilities (NOK million),423468,10712811,2469935,1022383,763935,38439,738248,754275,814980,105591,669317,..,1961917,366029,287143,8705,84805,39486,14601,149554
,Provisions (NOK million),24674,1084754,792753,35160,53815,1556,14212,17580,38729,6946,27356,..,45163,6825,16853,96,1038,509,222,1268
,Other long-term liabilities (NOK million),202341,4675867,555399,313871,369855,21012,326643,179778,447175,46399,301212,..,1466126,143366,141820,3369,46518,17032,6571,87380
,Liabilities to financial institutions (NOK million),95965,1769377,39362,87294,84961,13938,168347,67292,190510,22752,40784,..,796884,35682,57845,1842,25294,8033,4575,28015
,Long-term liabilities to group companies (NOK million),68388,1574392,135860,115394,124806,5194,106294,82578,138910,16362,122735,..,483537,70588,51880,770,14547,3424,514,32612
,Short-term liabilities (NOK million),196453,4952190,1121783,673351,340265,15872,397393,556917,329077,52246,340748,..,450628,215838,128470,5240,37250,21945,7808,60907
,Trade creditors (NOK million),45703,730658,86988,117590,23863,4478,82532,176784,54076,7811,45886,..,22965,29728,21639,584,3674,2275,1033,3049
,Short-term liabilities to group companies (NOK million),83567,1939234,447781,235512,168966,5319,103480,137789,152771,23566,140257,..,260465,79625,50693,1116,14773,3641,1152,28760
,Total equity and liabilities (NOK million),750526,20532692,3785805,2038124,1438758,65177,1207737,1506923,1549078,186587,1782726,..,3872748,914852,510050,16057,151941,66145,32368,657091
,Number of enterprises,6150,362641,1297,13558,1845,915,48315,45367,10313,11770,19665,..,75976,45085,14700,4892,12152,6316,5869,38456
2024,Fixed assets (NOK million),464593,14879703,2582609,1304725,1162370,71638,648910,729338,1215447,105986,1372369,..,3147817,617788,374324,10704,100935,45054,26022,899074
,Intangible fixed assets (NOK million),75754,700306,296243,42702,46430,1048,12321,32637,18816,1663,83794,..,20339,36840,20116,687,3766,1470,796,4886
,Tangible fixed assets (NOK million),125646,4157674,1084471,211397,332823,21131,153946,108095,457325,32979,158452,..,1234661,41221,127378,5124,19128,20455,4968,18477
,Financial fixed assets (NOK million),263194,10021723,1201896,1050626,783117,49459,482644,588606,739307,71344,1130124,..,1892818,539728,226830,4893,78041,23130,20258,875711
,"Investments in subsidiaries, other group companies or associated companies (NOK million)",205354,8142580,1030933,822650,611629,39554,363416,503819,583193,57542,994138,..,1432584,452353,174849,3965,48341,16704,17341,784215
,"Loans to group companies, associated companies and joint ventures (NOK million)",50622,1354135,16108,149787,117773,8046,93031,64770,121410,11435,99740,..,408117,72072,37131,706,27246,5374,2384,68384
,Current assets (NOK million),243122,5962309,1088220,704041,235992,21624,541622,732558,372181,67682,361360,..,771310,339099,142594,9808,56870,30005,13563,230657
,Inventories (NOK million),62893,695430,47880,141941,2593,1380,132173,213029,6927,2722,6191,..,52905,8826,2971,207,921,836,974,10060
,Debitors (NOK million),127823,3279609,702284,429096,165923,13655,282620,352130,232720,42812,239236,..,327026,163674,95315,2804,26697,8849,2847,64099
,Accounts receivables (NOK million),22259,876918,189253,138972,24595,5094,118483,135938,57156,4833,58362,..,28215,54771,28374,1168,4358,2018,1265,1803
,Investments (NOK million),14944,864175,185569,33287,6937,1268,30259,72163,36049,4651,32574,..,232405,72480,13999,1560,10754,4053,2890,108336
,Cash and bank deposits etc (NOK million),37462,1123095,152487,99717,60540,5321,96570,95238,96484,17497,83359,..,158975,94120,30309,5237,18498,16267,6853,48161
,Total assets (NOK million),707715,20842012,3670829,2008765,1398362,93262,1190533,1461896,1587628,173669,1733729,..,3919128,956887,516918,20512,157805,75059,39585,1129730
,Equity (NOK million),337049,10261259,1216263,1014318,677720,45600,477919,743448,827295,69356,1072288,..,1951014,581394,234833,9572,71225,30588,25294,876084
,Invested equity (NOK million),167745,6494588,597879,629887,506373,35511,283315,357889,572215,41026,752330,..,1181826,401532,172339,3464,34446,18512,10291,728007
,Share capital (NOK million),19096,735865,94500,93489,94874,2845,34885,48753,64909,6803,44236,..,135298,33216,15464,938,3657,5850,1789,35263
,Share premium reserve (NOK million),102563,4486823,284574,419447,371974,19428,201919,236235,394123,21302,571046,..,852461,269319,124207,2189,28250,11044,7087,569653
,Retained earnings (NOK million),169304,3766671,618384,384431,171347,10089,194604,385559,255080,28330,319958,..,769188,179862,62494,6109,36779,12076,15003,148076
,Liabilities (NOK million),370666,10580753,2454566,994447,720642,47662,712614,718448,760333,104313,661441,..,1968114,375493,282085,10940,86580,44471,14291,253647
,Provisions (NOK million),25602,1109378,846357,36671,56712,1555,14969,19073,21190,662,21991,..,48239,4347,6961,104,882,660,391,3012
,Other long-term liabilities (NOK million),194029,4734442,552002,314532,379137,27891,324183,171517,443673,51425,298187,..,1433308,144746,151105,4285,45596,18855,7245,172726
,Liabilities to financial institutions (NOK million),109997,1818690,39670,124292,81754,19370,169014,60348,209469,20460,38651,..,764546,28821,50070,2664,23298,8297,5352,62616
,Long-term liabilities to group companies (NOK million),52014,1205012,84136,79977,102517,3048,73293,55320,107584,8942,103022,..,370525,62350,35655,615,15863,3760,411,45981
,Short-term liabilities (NOK million),151035,4736933,1056208,643244,284793,18216,373462,527858,295470,52226,341264,..,486567,226399,124019,6551,40102,24956,6655,77908
,Trade creditors (NOK million),24344,601995,80963,91804,15193,4170,63426,159302,49764,7243,34706,..,19760,23438,17956,789,2710,2316,905,3206
,Short-term liabilities to group companies (NOK million),61678,1559527,423152,180532,134599,4699,88628,96866,84244,10268,109263,..,208578,72722,35466,971,16699,3284,1023,26856
,Total equity and liabilities (NOK million),707715,20842012,3670829,2008765,1398362,93262,1190533,1461896,1587628,173669,1733729,..,3919128,956887,516918,20512,157805,75059,39585,1129730
,Number of enterprises,6036,358430,1173,12877,1764,887,45976,42807,9888,11321,19606,..,74660,44472,14373,5100,12281,6327,5842,43040
"The accounting figures for arts, entertainment and recreation are strongly affected by the inclusion of Norsk Tipping Limited in this industry. Norsk Tipping accounts for a large proportion of the activity in the industry and has an accounting structure and profitability which are different from the rest of the industry.",,,,,,,,,,,,,,,,,,,,,
: = Confidential. Figures are not published so as to avoid identifying persons or companies.,,,,,,,,,,,,,,,,,,,,,
.. = Data not available. Figures have not been entered into our databases or are too unreliable to be published.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,
Fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Intangible fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Tangible fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Financial fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
"Investments in subsidiaries, other group companies or associated companies (NOK million):",,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
"Loans to group companies, associated companies and joint ventures (NOK million):",,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Current assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Inventories (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Debitors (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Accounts receivables (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Investments (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Cash and bank deposits etc (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Total assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Equity (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Invested equity (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Share capital (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Share premium reserve (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Retained earnings (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Liabilities (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Provisions (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Other long-term liabilities (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Liabilities to financial institutions (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Long-term liabilities to group companies (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Short-term liabilities (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Trade creditors (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Short-term liabilities to group companies (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Total equity and liabilities (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Number of enterprises:,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,
Statistics Norway,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Contact:,,,,,,,,,,,,,,,,,,,,,
Fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
"Hieu Minh Tran, Statistics Norway",,,,,,,,,,,,,,,,,,,,,
 +47 46 67 66 50,,,,,,,,,,,,,,,,,,,,,
hmt@ssb.no,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Units:,,,,,,,,,,,,,,,,,,,,,
Fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Intangible fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Tangible fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Financial fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
"Investments in subsidiaries, other group companies or associated companies (NOK million):",,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
"Loans to group companies, associated companies and joint ventures (NOK million):",,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Current assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Inventories (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Debitors (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Accounts receivables (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Investments (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Cash and bank deposits etc (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Total assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Equity (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Invested equity (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Share capital (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Share premium reserve (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Retained earnings (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Liabilities (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Provisions (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Other long-term liabilities (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Liabilities to financial institutions (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Long-term liabilities to group companies (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Short-term liabilities (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Trade creditors (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Short-term liabilities to group companies (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Total equity and liabilities (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Number of enterprises:,,,,,,,,,,,,,,,,,,,,,
enterprises,,,,,,,,,,,,,,,,,,,,,
Data type:,,,,,,,,,,,,,,,,,,,,,
Fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
Stock,,,,,,,,,,,,,,,,,,,,,
Intangible fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
Stock,,,,,,,,,,,,,,,,,,,,,
Tangible fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
Stock,,,,,,,,,,,,,,,,,,,,,
Financial fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
Stock,,,,,,,,,,,,,,,,,,,,,
