"08120: Profit/loss statement for non-financial limited companies, by year, contents and industry (SIC2007)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
,,"Agriculture, forestry and fishing",All industries,Mining and quarrying,Manufacturing,"Electricity, gas and steam","Water supply, sewerage, waste",Construction,Wholesale and retail trade: repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Portfolio investment,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Unspecified
,Proposed dividends (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Number of enterprises,3996,263241,1191,12250,1434,749,38509,41527,9321,8757,12879,..,63382,33127,11726,3473,8590,4180,4205,3945
2017,Operating income (NOK million),103906,5415932,1027681,742431,124967,29049,518158,1474560,385640,77868,244565,..,164865,201679,169974,12730,64437,55534,16243,1646
,Revenue (NOK million),98666,5061508,968451,740700,117331,28234,492192,1473830,321437,74082,231299,..,46117,192041,154628,10509,43192,53033,14614,1152
,Operating expences (NOK million),75563,4892225,804142,707436,96213,27698,488877,1427156,364239,76454,224837,..,106257,195849,160872,12123,59169,49109,14819,1412
,Raw materials and consumables used (NOK million),33493,2587646,500833,406186,52529,12017,184826,1106829,85830,18371,68020,..,16884,41330,48085,1005,4518,3879,2697,312
,Payroll expence (NOK million),14710,890013,60516,133710,11776,5458,121691,151468,80855,28640,72994,..,16569,81015,57017,5952,34098,6055,7185,304
,Depreciation and write down of tangible and intangible fixed assets (NOK million),5960,276516,111556,22261,10834,1680,8019,14223,36730,2653,14823,..,22656,8743,11711,518,2038,1377,660,72
,Operating profit (NOK million),28343,523707,223540,34995,28754,1351,29281,47404,21401,1413,19727,..,58608,5829,9102,607,5269,6425,1424,233
,"Income from subsidiaries, other group entities and from associates (NOK million)",3911,243298,-1376,64457,37956,111,8454,15696,9254,1091,60193,..,28250,3346,9545,97,1177,373,197,564
,Interest income (NOK million),1031,60565,17603,6743,3573,216,2627,3210,5126,1160,2728,..,10461,2574,2656,47,342,133,88,246
,Interest expence (NOK million),2677,138935,30996,11771,8239,705,7574,7506,17252,1310,5994,..,32382,4218,6280,143,1151,337,209,190
,Write-down of financial assets (NOK million),154,81389,7727,29078,291,40,2098,4801,13894,64,3587,..,6017,9402,3264,70,498,77,29,301
,"Financial items, net (NOK million)",14613,406947,-5378,66828,45024,345,19268,29692,2480,2246,113180,..,95653,9116,6979,179,2155,591,739,3237
,Profit before tax (NOK million),42957,930654,218161,101823,73778,1696,48549,77096,23881,3659,132908,..,154260,14946,16080,786,7424,7016,2163,3471
,Ekstraordinary items (NOK million),42,-771,0,-4,0,0,1,-27,-678,0,0,..,65,-145,-32,2,3,0,0,3
,Tax (NOK million),7937,244016,147123,14683,13651,352,7786,12548,8209,654,8102,..,13692,4371,2489,202,1360,381,292,185
,Net profit (NOK million),35057,685692,71038,87085,60558,1356,40771,64527,14711,3045,124380,..,140778,10404,13537,586,6064,6636,1872,3289
,Proposed dividends (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Number of enterprises,4349,275605,1222,12436,1461,779,40627,42076,9568,9151,13960,..,66432,34970,12282,3768,9064,4536,4516,4408
2018,Operating income (NOK million),125157,5915724,1239248,763927,157873,31324,566875,1544845,406500,82828,250942,..,172204,226185,186874,13502,67087,60015,16084,4255
,Revenue (NOK million),120320,5541855,1166045,760949,149695,30560,538158,1543129,352911,79019,237524,..,46545,215516,171223,11251,44937,57063,15115,1895
,Operating expences (NOK million),97479,5300486,930205,732775,115848,30226,537690,1501429,392446,81732,229801,..,112608,215936,176466,12808,61674,53363,15175,2825
,Raw materials and consumables used (NOK million),49339,2847102,612817,421613,68482,13902,197295,1166103,95814,19342,65946,..,21134,47318,55337,1054,4526,4012,2668,399
,Payroll expence (NOK million),16381,940948,67932,138289,12154,5531,132210,158260,78246,30639,75944,..,17152,88722,63204,6302,35792,6386,7496,306
,Depreciation and write down of tangible and intangible fixed assets (NOK million),6820,270396,107127,20252,9891,1804,9645,15042,33672,2889,15643,..,23468,8207,11040,538,2120,1351,673,215
,Operating profit (NOK million),27678,615238,309043,31152,42025,1098,29185,43416,14054,1096,21140,..,59596,10249,10409,695,5412,6652,909,1430
,"Income from subsidiaries, other group entities and from associates (NOK million)",4121,289305,23742,34248,29595,408,9270,14721,22515,1584,107861,..,26558,8440,2525,177,743,488,134,2175
,Interest income (NOK million),1275,59448,13785,7077,3760,204,3324,3704,5350,489,2757,..,10743,3114,2298,52,514,110,134,758
,Interest expence (NOK million),3130,140337,25104,12401,8696,565,8814,7919,19066,1355,6881,..,32772,4828,5282,154,1314,372,271,1413
,Write-down of financial assets (NOK million),701,91801,9524,7354,-516,37,4289,6264,27567,1632,6866,..,11864,9817,5083,150,192,105,35,837
,"Financial items, net (NOK million)",15283,429072,24592,67892,37188,972,19484,30160,20164,2491,110656,..,63802,16873,3240,272,1639,764,722,12877
,Profit before tax (NOK million),42961,1044309,333635,99043,79213,2070,48669,73576,34218,3587,131796,..,123399,27122,13649,967,7051,7416,1631,14307
,Ekstraordinary items (NOK million),7,79,0,3,5,0,-9,19,16,1,-26,..,68,-6,3,2,-2,-3,1,-1
,Tax (NOK million),7598,312260,212791,12938,21821,295,7601,11296,6063,593,8015,..,13761,4112,2888,209,1396,403,257,224
,Net profit (NOK million),35385,727503,120735,85939,57361,1782,41045,62311,26653,2979,120872,..,109790,23024,10749,760,5652,7011,1375,14082
,Proposed dividends (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Number of enterprises,4765,282853,1282,13079,1526,815,43599,43502,9796,9785,14786,..,57911,36853,12830,4015,9555,4962,4783,9009
2019,Operating income (NOK million),132224,6080426,1162934,806252,155533,33549,606166,1593842,432137,88451,268239,..,177742,250016,203036,14726,70491,64191,16040,4857
,Revenue (NOK million),126825,5663035,1056134,804052,146597,32745,576241,1593942,383157,84078,255850,..,45751,238002,179096,12239,48115,61216,15516,3479
,Operating expences (NOK million),106095,5511133,910865,782141,117471,32330,572149,1551592,404301,87044,252016,..,114951,236310,186684,14021,65330,57012,15187,5635
,Raw materials and consumables used (NOK million),53457,2878079,546309,451640,70698,15113,206951,1205691,101817,20238,67475,..,18449,48688,56464,1336,4880,4381,2342,2150
,Payroll expence (NOK million),17722,995446,74239,145094,11682,6069,142068,162007,81119,33034,83424,..,18019,94790,66333,6945,37956,6786,7686,474
,Depreciation and write down of tangible and intangible fixed assets (NOK million),7557,323434,134694,28682,10221,1695,10245,17173,33882,3183,20021,..,25235,12316,12915,605,2293,1722,779,214
,Operating profit (NOK million),26129,569293,252069,24111,38062,1219,34017,42250,27835,1407,16223,..,62790,13707,16352,705,5161,7179,853,-777
,"Income from subsidiaries, other group entities and from associates (NOK million)",3608,215072,14910,30682,24910,91,11230,12450,16186,1869,42774,..,34248,6293,6694,111,561,1786,96,6574
,Interest income (NOK million),1661,71330,16294,8140,4421,207,4405,4495,6290,689,3183,..,12791,3489,2642,67,637,220,161,1539
,Interest expence (NOK million),3957,158639,27820,13372,8882,483,10313,8844,19687,1702,7790,..,37534,5942,6394,172,1370,505,338,3534
,Write-down of financial assets (NOK million),2016,109265,13455,6093,-2067,122,3766,7231,32024,6564,12913,..,7631,11223,4035,169,110,165,77,3739
,"Financial items, net (NOK million)",13508,399410,26887,53138,52407,512,28524,32715,-17011,-2818,62697,..,100317,7255,10576,1143,1511,2163,2306,23580
,Profit before tax (NOK million),39637,968702,278956,77249,90469,1731,62542,74965,10825,-1412,78921,..,163107,20962,26928,1849,6672,9342,3159,22802
,Ekstraordinary items (NOK million),7,161,-4,6,0,0,24,-12,10,2,6,..,145,12,-1,2,0,0,1,-35
,Tax (NOK million),6535,253564,146682,12339,18272,255,8623,12082,10150,778,11181,..,15509,4958,2539,216,1239,486,259,1461
,Net profit (NOK million),33132,718526,132312,64969,73206,1476,53964,62873,1157,-2181,69018,..,148037,16022,24399,1635,5442,8855,2903,21307
,Proposed dividends (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Number of enterprises,4935,293422,1300,12937,1596,840,44796,42655,9698,9845,15216,..,59253,37709,13033,4105,9892,5217,4901,15494
2020,Operating income (NOK million),135968,5813872,911693,803055,111126,36189,595785,1712946,385056,69258,279947,..,191607,244412,164152,12994,69909,61795,18550,9430
,Revenue (NOK million),130359,5406067,847753,797077,93782,35419,575555,1706181,320933,61233,265240,..,57499,231956,146734,10990,47195,57773,15073,5314
,Operating expences (NOK million),116637,5441208,852172,776899,87799,34545,563671,1638371,370496,70272,260886,..,127634,232906,155745,12132,63980,54568,14886,7607
,Raw materials and consumables used (NOK million),58595,2795231,436447,449197,38725,16569,201881,1290868,91860,15966,75286,..,25210,46542,33584,1080,4356,3182,2621,3261
,Payroll expence (NOK million),19177,982198,79356,143563,12954,6281,143120,163223,75634,25191,83020,..,19318,96098,59172,5874,36835,5475,7131,775
,Depreciation and write down of tangible and intangible fixed assets (NOK million),8968,394856,179102,33746,11477,1852,10234,18281,37878,3485,24684,..,27694,16537,14435,583,2582,1719,775,823
,Operating profit (NOK million),19331,372664,59521,26156,23327,1643,32114,74575,14560,-1014,19061,..,63972,11505,8407,862,5929,7226,3665,1823
,"Income from subsidiaries, other group entities and from associates (NOK million)",4831,198002,2158,51848,13548,214,9112,19310,8794,1149,35090,..,36313,6467,2642,198,785,401,78,5064
,Interest income (NOK million),1450,60135,12108,6529,3980,188,3771,3590,4430,528,2741,..,12371,3016,2415,52,673,184,142,1971
,Interest expence (NOK million),3934,155692,32068,11648,8954,439,8764,7861,16587,1357,7697,..,37270,5771,6256,160,1474,501,321,4630
,Write-down of financial assets (NOK million),1754,106177,17444,16623,3273,41,2832,2677,30739,-924,3283,..,7580,10656,5943,49,790,305,72,3040
,"Financial items, net (NOK million)",12197,319026,342,60851,14776,413,28211,49484,-29785,2752,43148,..,94451,11478,3177,1468,4113,569,1,21380
,Profit before tax (NOK million),31528,691690,59863,87007,38103,2056,60325,124058,-15225,1738,62209,..,158424,22984,11583,2330,10042,7795,3666,23203
,Ekstraordinary items (NOK million),44,-177,0,:,:,0,-4,-4,15,-3,0,..,-25,-30,-12,1,0,-2,-1,-2
,Tax (NOK million),4276,122481,36242,9870,7182,425,8173,16248,9438,138,7400,..,14035,4031,2289,266,1445,318,228,478
,Net profit (NOK million),27115,567574,23504,77385,30392,1631,52127,107852,-26020,1690,55046,..,144457,18818,9283,2066,8598,7475,3431,22723
,Proposed dividends (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Number of enterprises,5271,313139,1328,13171,1717,886,45147,43627,9869,10407,16328,..,66427,39641,13539,4245,10282,5442,5203,20609
2021,Operating income (NOK million),152989,6874883,1402587,852364,220368,42304,649181,1911636,425732,82358,305331,..,213007,263007,168813,12219,76066,65366,18662,12893
,Revenue (NOK million),144867,6447255,1341924,840482,210591,41233,623084,1908778,366989,73282,282782,..,66604,247280,150504,11134,52072,61475,16965,7208
,Operating expences (NOK million),129743,5917805,870165,808511,155920,39683,611306,1827253,398535,79564,284168,..,143339,248140,157826,11224,69133,57985,16653,8658
,Raw materials and consumables used (NOK million),64738,3168826,526887,464329,98853,20096,226082,1452006,89375,18120,79744,..,32337,49293,30783,1070,4872,3658,3027,3557
,Payroll expence (NOK million),21037,1057554,81142,151728,14348,6827,152583,175930,81531,28682,91765,..,21291,105762,65427,5117,39205,6251,8137,792
,Depreciation and write down of tangible and intangible fixed assets (NOK million),9714,326423,125284,27211,11679,1911,11030,18120,32654,3407,25311,..,28942,12554,12559,519,2351,1720,777,679
,Operating profit (NOK million),23246,957078,532422,43853,64448,2620,37875,84383,27197,2795,21163,..,69668,14867,10987,995,6933,7381,2009,4235
,"Income from subsidiaries, other group entities and from associates (NOK million)",5429,282600,:,58294,23794,867,11450,25270,11645,2402,24028,..,34182,11927,2319,148,6190,480,:,29390
,Interest income (NOK million),1613,57888,10342,6033,3582,229,3757,3065,3854,613,3620,..,13059,3035,1981,38,718,155,112,2081
,Interest expence (NOK million),4086,143960,24880,10695,8485,458,9157,6745,14089,1577,8586,..,36840,5646,5653,128,1410,492,315,4718
,Write-down of financial assets (NOK million),185,74941,385,12934,9690,125,3278,4297,9957,585,4851,..,8143,11485,2905,27,227,174,705,4987
,"Financial items, net (NOK million)",25032,701010,28142,97483,30931,1926,38552,86663,36037,6321,58967,..,160518,30994,8030,912,12213,1998,1219,75073
,Profit before tax (NOK million),48278,1658088,560565,141336,95378,4546,76427,171045,63234,9116,80130,..,230186,45861,19017,1907,19146,9379,3228,79308
,Ekstraordinary items (NOK million),:,2770,:,:,:,:,7,-3,:,1,-29,..,19,-125,:,:,-2,0,0,61
,Tax (NOK million),5895,516701,377304,17307,36561,627,9873,21770,7474,1069,9423,..,16975,5424,2952,318,1794,361,253,1321
,Net profit (NOK million),42706,1144713,183600,129058,57947,3919,66532,149301,53672,7969,71419,..,213239,40357,16032,1590,17329,9017,2977,78048
,Proposed dividends (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Number of enterprises,5604,331371,1298,13412,1726,904,47366,44462,10060,11040,17296,..,69756,41287,13907,4409,10841,5756,5442,26805
2022,Operating income (NOK million),200224,8717887,2409354,992036,368112,46283,707325,2049626,544672,109365,347830,..,222753,288596,226650,13135,81324,77192,19649,13763
,Revenue (NOK million),188418,8254346,2343017,969994,345812,45250,680490,2043604,494659,102710,318031,..,70861,275839,206509,12054,56875,73011,18949,8265
,Operating expences (NOK million),158093,6988960,1228054,907511,245677,43404,674347,1983481,490390,105318,326178,..,158781,272764,207165,12538,75384,68476,18562,12836
,Raw materials and consumables used (NOK million),81534,3824813,776905,557349,171302,21319,249667,1575332,119309,24924,90406,..,33137,51827,53198,1152,5340,5329,3188,3593
,Payroll expence (NOK million),24421,1165721,90104,160153,15917,7445,164670,187446,89972,39005,103533,..,22572,116470,77645,5710,42291,8095,9070,1202
,Depreciation and write down of tangible and intangible fixed assets (NOK million),11689,344690,149623,11995,12980,2094,12423,18646,28740,3281,28306,..,32720,10197,15199,613,2409,1921,805,1050
,Operating profit (NOK million),42131,1728927,1181299,84525,122435,2879,32977,66145,54283,4047,21651,..,63972,15833,19485,597,5939,8716,1087,927
,"Income from subsidiaries, other group entities and from associates (NOK million)",13797,334076,:,68980,34908,:,12622,22723,19936,2744,28652,..,41394,10390,3034,153,1367,677,244,4263
,Interest income (NOK million),2734,121120,32609,10409,8959,343,6215,6521,8931,1054,8631,..,21198,4896,3353,54,1220,215,154,3622
,Interest expence (NOK million),5986,211006,33571,16392,13293,758,13179,11210,22046,1992,13676,..,53160,8119,8126,129,2017,665,394,6292
,Write-down of financial assets (NOK million),6813,133170,2462,3626,3984,47,5312,13561,3118,1023,39814,..,19691,15175,5525,83,819,801,185,11132
,"Financial items, net (NOK million)",21703,579891,:,114113,42826,:,31873,27065,34368,4785,-5712,..,91367,34325,890,371,2629,450,235,44146
,Profit before tax (NOK million),63834,2308818,1313264,198639,165260,5369,64851,93210,88650,8832,15939,..,155339,50158,20374,968,8569,9166,1322,45073
,Ekstraordinary items (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Tax (NOK million),10624,1078071,892966,25212,78317,643,9268,18779,9784,1295,1359,..,16374,6519,3569,207,1657,709,249,542
,Net profit (NOK million),53222,1230974,419761,173467,86669,4726,55751,74405,79326,7616,14708,..,138984,43633,16928,762,6937,8457,1077,44544
,Proposed dividends (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Number of enterprises,5874,346452,1275,13388,1754,910,48222,44609,10163,11254,18400,..,72260,42932,14360,4614,11302,6102,5630,33403
2023,Operating income (NOK million),275749,8502352,1950206,1036112,273990,47163,710937,2117930,567936,118662,392586,..,227173,322343,244976,13789,89530,81754,21708,9809
,Revenue (NOK million),265459,7959700,1859323,1017993,251548,46099,686950,2095207,491294,112876,360879,..,62609,305105,224489,12545,62220,77569,20765,6768
,Operating expences (NOK million),233508,7307013,1217517,987653,188482,44758,683920,2065692,505125,115302,372511,..,159650,307347,225455,13130,83524,72633,20339,10470
,Raw materials and consumables used (NOK million),140088,3924048,749782,591340,118449,21075,240941,1624092,133119,27619,112045,..,26644,58181,61323,1054,5799,5355,3976,3168
,Payroll expence (NOK million),26379,1256593,99528,172599,17389,8110,176044,199542,97283,42623,113769,..,23384,128549,78741,5992,47010,8660,9740,1251
,Depreciation and write down of tangible and intangible fixed assets (NOK million),11767,414708,175812,37032,13944,2197,13670,21634,32943,3655,29149,..,38294,11252,17024,621,2454,2046,845,367
,Operating profit (NOK million),42241,1195339,732690,48459,85508,2405,27018,52238,62811,3360,20076,..,67523,14995,19521,659,6007,9121,1369,-661
,"Income from subsidiaries, other group entities and from associates (NOK million)",7204,400799,30412,114589,33259,262,10057,19589,32883,2856,93506,..,33360,12659,3265,119,1099,421,101,5159
,Interest income (NOK million),7505,233585,60739,22622,16778,648,11788,13269,20619,1852,17200,..,36343,10361,5954,106,2463,564,370,4404
,Interest expence (NOK million),12620,348817,55773,29362,22903,1261,20682,20251,39138,3051,23945,..,84197,12607,11723,237,3491,1052,597,5928
,Write-down of financial assets (NOK million),1993,148589,4003,18123,102,200,10246,9827,7096,1182,9309,..,37489,15950,3451,157,515,1015,460,27470
,"Financial items, net (NOK million)",20558,849319,339587,151852,34495,505,21917,36617,38415,4675,104672,..,52201,23894,2099,227,3045,1270,207,13083
,Profit before tax (NOK million),62800,2044659,1072276,200311,120002,2910,48935,88855,101226,8036,124747,..,119724,38889,21620,886,9052,10391,1576,12422
,Ekstraordinary items (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Tax (NOK million),13654,701951,547940,16766,51278,533,8017,15259,9357,1496,8513,..,14821,7445,2839,217,1890,644,334,946
,Net profit (NOK million),49146,1342708,524336,183545,68725,2376,40917,73596,91869,6540,116235,..,104903,31444,18781,669,7161,9747,1242,11476
,Proposed dividends (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Number of enterprises,6150,362641,1297,13558,1845,915,48315,45367,10313,11770,19665,..,75976,45085,14700,4892,12152,6316,5869,38456
2024,Operating income (NOK million),277445,8320194,1839911,1039804,221720,47891,690177,2070988,526455,124393,409660,..,249673,329408,243446,21289,95667,88631,21682,21955
,Revenue (NOK million),268585,7846461,1816265,1019152,203840,46901,666332,2020930,464322,109646,356196,..,121255,318968,221523,17106,77475,82471,20759,14735
,Operating expences (NOK million),251166,7215370,1215547,982508,160549,46123,659886,2000420,465177,119509,388060,..,162657,313751,224559,20333,88395,77959,20296,18474
,Raw materials and consumables used (NOK million),160810,4183850,796911,609261,92430,25023,361203,1563386,166811,28902,147704,..,31748,91235,73815,2477,11773,8605,4144,7610
,Payroll expence (NOK million),27075,1244801,59152,178588,18329,8428,177195,192831,105261,44285,112788,..,23873,133731,79616,10486,52054,9218,9969,1921
,Depreciation and write down of tangible and intangible fixed assets (NOK million),12690,418469,180343,29257,14305,2383,13442,21887,34171,3761,33005,..,35177,11895,18596,896,2378,2196,885,1201
,Operating profit (NOK million),26279,1104823,624364,57296,61170,1767,30291,70567,61278,4884,21600,..,87015,15657,18887,956,7272,10672,1386,3480
,"Income from subsidiaries, other group entities and from associates (NOK million)",17164,586091,130279,93731,39756,830,23766,35313,50036,4197,75494,..,60759,14868,9276,410,3098,890,5782,20443
,Interest income (NOK million),8585,204778,45635,22054,12741,764,12801,9902,15253,1741,11880,..,39528,6785,5768,183,2995,628,388,7146
,Interest expence (NOK million),14960,298927,29532,28005,19583,1423,20346,15151,26878,3126,18339,..,87323,9169,10453,300,4085,1160,517,8576
,Write-down of financial assets (NOK million),2369,112772,1473,6709,5183,72,9890,9845,7579,854,9500,..,11169,14666,1348,48,691,797,281,30299
,"Financial items, net (NOK million)",18147,607072,126295,87516,20638,179,18814,33252,65218,3230,110186,..,67573,9919,9755,835,3632,1604,7501,22777
,Profit before tax (NOK million),44426,1711896,750659,144813,81809,1946,49105,103819,126496,8114,131786,..,154589,25576,28642,1791,10904,12276,8887,26257
,Ekstraordinary items (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Tax (NOK million),6112,592435,462229,17524,33724,407,8101,14674,7929,1464,8781,..,16405,5422,3702,255,1979,657,368,2702
,Net profit (NOK million),38314,1119391,288430,127287,48084,1539,40998,89137,118568,6648,123002,..,138155,20145,24939,1535,8923,11619,8519,23549
,Proposed dividends (NOK million),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Number of enterprises,6036,358430,1173,12877,1764,887,45976,42807,9888,11321,19606,..,74660,44472,14373,5100,12281,6327,5842,43040
"The accounting figures for arts, entertainment and recreation are strongly affected by the inclusion of Norsk Tipping Limited in this industry. Norsk Tipping accounts for a large proportion of the activity in the industry and has an accounting structure and profitability which are different from the rest of the industry.",,,,,,,,,,,,,,,,,,,,,
"Changes to the Limited Liability Companies Act as of 1 July 2013 mean more flexible rules for the distribution of dividends, including opportunities to distribute dividends on the basis of the interim balance sheet. This affects the comparability of the 'provision for dividend' post.",,,,,,,,,,,,,,,,,,,,,
.. = Data not available. Figures have not been entered into our databases or are too unreliable to be published.,,,,,,,,,,,,,,,,,,,,,
: = Confidential. Figures are not published so as to avoid identifying persons or companies.,,,,,,,,,,,,,,,,,,,,,
contents:,,,,,,,,,,,,,,,,,,,,,
Profit before tax (NOK million):,,,,,,,,,,,,,,,,,,,,,
Before 2022 Operating profit before tax.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,
Operating income (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Revenue (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Operating expences (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Raw materials and consumables used (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Payroll expence (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Depreciation and write down of tangible and intangible fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Operating profit (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
"Income from subsidiaries, other group entities and from associates (NOK million):",,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Interest income (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Interest expence (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Write-down of financial assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
"Financial items, net (NOK million):",,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Profit before tax (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Ekstraordinary items (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Tax (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Net profit (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Proposed dividends (NOK million):,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
Number of enterprises:,,,,,,,,,,,,,,,,,,,,,
20250926 08:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,
Statistics Norway,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Contact:,,,,,,,,,,,,,,,,,,,,,
Operating income (NOK million):,,,,,,,,,,,,,,,,,,,,,
"Hieu Minh Tran, Statistics Norway",,,,,,,,,,,,,,,,,,,,,
 +47 46 67 66 50,,,,,,,,,,,,,,,,,,,,,
hmt@ssb.no,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Units:,,,,,,,,,,,,,,,,,,,,,
Operating income (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Revenue (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Operating expences (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Raw materials and consumables used (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Payroll expence (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Depreciation and write down of tangible and intangible fixed assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Operating profit (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
"Income from subsidiaries, other group entities and from associates (NOK million):",,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Interest income (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Interest expence (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Write-down of financial assets (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
"Financial items, net (NOK million):",,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Profit before tax (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Ekstraordinary items (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Tax (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Net profit (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Proposed dividends (NOK million):,,,,,,,,,,,,,,,,,,,,,
NOK million,,,,,,,,,,,,,,,,,,,,,
Number of enterprises:,,,,,,,,,,,,,,,,,,,,,
enterprises,,,,,,,,,,,,,,,,,,,,,
Data type:,,,,,,,,,,,,,,,,,,,,,
Operating income (NOK million):,,,,,,,,,,,,,,,,,,,,,
Stock,,,,,,,,,,,,,,,,,,,,,
Revenue (NOK million):,,,,,,,,,,,,,,,,,,,,,
Stock,,,,,,,,,,,,,,,,,,,,,
Operating expences (NOK million):,,,,,,,,,,,,,,,,,,,,,
Stock,,,,,,,,,,,,,,,,,,,,,
Raw materials and consumables used (NOK million):,,,,,,,,,,,,,,,,,,,,,
